"option_id","option_name","vendor_id","vendor_name","vendor_phone","vendor_email","product_id","quantity","price","on_sale","specs","category_id","category_name"
"2101","XPS 13 - 5080 8GB LPDDR3 1866MHz","5400","Dell ","8465473132","dell@gmail.com","2100","7","1250","1","Dell XPS 13 PC with 13.3-inch Intel Core i5-8250U. 8GB memory/128GB SSD","4400","PC"
"2102","XPS 13 - 5080 16GB LPDDR3 1866MHz","5400","Dell ","8465473132","dell@gmail.com","2100","1","1650","0","Dell XPS 15 PC with 15.6-inch Intel Core i5-7300HQ. 8GB memory/256GB SSD","4400","PC"
"2201","XPS 15- 5070 256GB PCIe Solid State Drive","5400","Dell ","8465473132","dell@gmail.com","2200","10","600","0","Dell Inspiron 15 PC with 15.6-inch Full HD. Intel Core i5-8250U. 8GB memory/1TB HDD","4400","PC"
"2202","XPS 15- 5070 500GB PCIe Solid State Drive","5400","Dell ","8465473132","dell@gmail.com","2200","50","700","1","Dell Inspiron 24 PC with 23.8-in Full HD. Intel Core i5-7200U. 8GB memory/1TB SATA","4400","PC"
"2301","Monoprice Ultra Slim Series High Speed HDMI Cable - 4K - Length - 1ft","5500","Monoprice ","3189831684","monoprice@gmail.com","2300","40","15","0","""Monoprice Ultra Slim 24Hz High Speed HDMI Cable, 10Gbps, 36AWG, YUV 4:2:0, 6ft, Black""","4500","Cables"
"2302","Monoprice Ultra Slim Series High Speed HDMI Cable - 4K - Length - 1.5ft","5500","Monoprice ","3189831684","monoprice@gmail.com","2300","30","25","1","""Monoprice Ultra Slim 60Hz High Speed HDMI Cable, 18Gbps, 40AWG, YUV 6:4:0, 8ft, Black""","4500","Cables"
"2401","Monoprice Ultra Slim Series High Speed HDMI Cable - 4K - Length - 3ft","5500","Monoprice ","3189831684","monoprice@gmail.com","2400","1","10","0","""Monoprice Commercial 32Hz High Speed HDMI Cable, 10Gbps, 24AWG, CL2, 6ft, Black""","4500","Cables"
"2402","Monoprice Ultra Slim Series High Speed HDMI Cable - 4K - Length - 5ft","5500","Monoprice ","3189831684","monoprice@gmail.com","2400","10","20","0","""Monoprice Commercial 80Hz High Speed HDMI Cable, 18Gbps, 40AWG, CL2, 8ft, Black""","4500","Cables"
"2501","COWIN E7 PRO - Black","5600","Sony ","4846531876","sony@gmail.com","2500","1","250","1","""1000XM1 Wireless Headphones 20 Hzñ20,000 Hz (44 kHz Sampling)/ 20 Hzñ40,000 Hz (LDAC 96 kHz Sampling, 990 kbps)""","4600","Headphones"
"2502","COWIN E7 PRO - Red","5600","Sony ","4846531876","sony@gmail.com","2500","20","350","1","""1200XM3 Wireless Headphones 40 Hzñ40,000 Hz (54 kHz Sampling)/40 Hzñ60,000 Hz (LDAC 120 kHz Sampling, 800 kbps)""","4600","Headphones"
"2601","COWIN E7 PRO - Pink","5600","Sony ","4846531876","sony@gmail.com","2600","9","800","0","""Sony IER-M7 In-ears Headphone. Driver Unit by Quad-balanced armature. Frequency Response 5 Hzñ20,000 Hz""","4600","Headphones"
"2602","COWIN E7 PRO - White","5600","Sony ","4846531876","sony@gmail.com","2600","60","900","1","""Sony IER-M9 In-ears Headphone. Driver Unit by Penta Balanced Armature. Frequency Response 10 Hzñ40,000 Hz""","4600","Headphones"
